action	srcaddr	dstaddr	dstport	interfaceID	securityGroup	dstHostname	hourCreated bytes	packets	numConnections	region	vpc	availabilityZone	
ACCEPT	10.100.5.54	10.100.0.70	36573	eni-ce1a32f3	qa-apibox	qa-apife--0c02e5e1f6f65288d.northwest.stripe.io	1501624800	344	4	1	us-west-2	vpc-b26a1cda	us-west-2a
ACCEPT	10.100.5.54	10.100.0.70	36706	eni-ce1a32f3	qa-apibox	qa-apife--0c02e5e1f6f65288d.northwest.stripe.io	1501624800	344	4	1	us-west-2	vpc-b26a1cda	us-west-2a
ACCEPT	10.100.21.2	10.100.0.70	46982	eni-53ea367f	qa-apibox	qa-apife--0c02e5e1f6f65288d.northwest.stripe.io	1501624800	2430	4	1	us-west-2	vpc-b26a1cda	us-west-2b
ACCEPT	10.100.21.2	10.100.0.70	47050	eni-53ea367f	qa-apibox	qa-apife--0c02e5e1f6f65288d.northwest.stripe.io	1501624800	344	4	1	us-west-2	vpc-b26a1cda	us-west-2b
ACCEPT	10.100.21.2	10.100.0.70	47242	eni-53ea367f	qa-apibox	qa-apife--0c02e5e1f6f65288d.northwest.stripe.io	1501624800	793	4	1	us-west-2	vpc-b26a1cda	us-west-2b
ACCEPT	10.100.21.2	10.100.0.70	47403	eni-53ea367f	qa-apibox	qa-apife--0c02e5e1f6f65288d.northwest.stripe.io	1501624800	2482	5	1	us-west-2	vpc-b26a1cda	us-west-2b
ACCEPT	10.100.21.2	10.100.0.70	47508	eni-53ea367f	qa-apibox	qa-apife--0c02e5e1f6f65288d.northwest.stripe.io	1501624800	396	5	1	us-west-2	vpc-b26a1cda	us-west-2b
ACCEPT	10.100.21.2	10.100.0.70	47525	eni-53ea367f	qa-apibox	qa-apife--0c02e5e1f6f65288d.northwest.stripe.io	1501624800	845	5	1	us-west-2	vpc-b26a1cda	us-west-2b
ACCEPT	10.100.21.2	10.100.0.70	47636	eni-53ea367f	qa-apibox	qa-apife--0c02e5e1f6f65288d.northwest.stripe.io	1501624800	2443	4	1	us-west-2	vpc-b26a1cda	us-west-2b
ACCEPT	10.100.21.2	10.100.0.70	47706	eni-53ea367f	qa-apibox	qa-apife--0c02e5e1f6f65288d.northwest.stripe.io	1501624800	793	4	1	us-west-2	vpc-b26a1cda	us-west-2b
ACCEPT	10.100.21.2	10.100.0.70	47799	eni-53ea367f	qa-apibox	qa-apife--0c02e5e1f6f65288d.northwest.stripe.io	1501624800	2430	4	1	us-west-2	vpc-b26a1cda	us-west-2b
ACCEPT	10.100.21.2	10.100.0.70	47865	eni-53ea367f	qa-apibox	qa-apife--0c02e5e1f6f65288d.northwest.stripe.io	1501624800	822	4	1	us-west-2	vpc-b26a1cda	us-west-2b
ACCEPT	10.100.21.2	10.100.0.70	47952	eni-53ea367f	qa-apibox	qa-apife--0c02e5e1f6f65288d.northwest.stripe.io	1501624800	2367	4	1	us-west-2	vpc-b26a1cda	us-west-2b
ACCEPT	10.100.21.2	10.100.0.70	48062	eni-53ea367f	qa-apibox	qa-apife--0c02e5e1f6f65288d.northwest.stripe.io	1501624800	793	4	1	us-west-2	vpc-b26a1cda	us-west-2b
ACCEPT	10.100.21.2	10.100.0.70	48064	eni-53ea367f	qa-apibox	qa-apife--0c02e5e1f6f65288d.northwest.stripe.io	1501624800	1941	4	1	us-west-2	vpc-b26a1cda	us-west-2b
ACCEPT	10.100.21.2	10.100.0.70	48089	eni-d275779d	qa-apibox	qa-apife--0c02e5e1f6f65288d.northwest.stripe.io	1501624800	2495	5	1	us-west-2	vpc-b26a1cda	us-west-2b
ACCEPT	10.100.21.2	10.100.0.70	48155	eni-53ea367f	qa-apibox	qa-apife--0c02e5e1f6f65288d.northwest.stripe.io	1501624800	793	4	1	us-west-2	vpc-b26a1cda	us-west-2b
ACCEPT	10.100.21.2	10.100.0.70	48191	eni-53ea367f	qa-apibox	qa-apife--0c02e5e1f6f65288d.northwest.stripe.io	1501624800	2443	4	1	us-west-2	vpc-b26a1cda	us-west-2b
ACCEPT	10.100.21.2	10.100.0.70	48282	eni-d275779d	qa-apibox	qa-apife--0c02e5e1f6f65288d.northwest.stripe.io	1501624800	2430	5	1	us-west-2	vpc-b26a1cda	us-west-2b
ACCEPT	10.100.47.239	10.100.0.70	49961	eni-433afe43	qa-lscollector	qa-apife--0c02e5e1f6f65288d.northwest.stripe.io	1501624800	709	11	1	us-west-2	vpc-b26a1cda	us-west-2c
